Timestamp,Temperature,Humidity,WindSpeed,Synthetic Load Demand (kWh)
2024-02-12 10:00:00,1.19,73,4.02,462.86976970281006
2024-02-12 11:00:00,1.86,68,3.13,425.72192655777627
2024-02-12 12:00:00,2.72,56,4.47,466.7298089852605
2024-02-12 13:00:00,2.54,49,7.72,448.8540240385144
2024-02-12 14:00:00,2.01,48,3.58,448.61534222928475
2024-02-12 15:00:00,1.56,47,2.68,445.83726084679284
2024-02-12 16:00:00,0.62,48,2.24,427.413231383869
2024-02-12 17:00:00,-1.77,53,2.28,397.2610140463189
2024-02-12 18:00:00,-2.32,51,0.45,400.23884020384276
2024-02-12 19:00:00,-2.95,56,1.91,378.4507465938261
2024-02-12 20:00:00,-3.4,58,0.45,369.45606725829
2024-02-12 21:00:00,-3.93,61,1.89,363.73688221163263
2024-02-12 22:00:00,-4.34,62,0.89,357.37644935987703
2024-02-12 23:00:00,-4.21,69,0.89,360.1264383278675
2024-02-13 00:00:00,-4.08,74,3.09,362.4237854329486
2024-02-13 01:00:00,-4.15,80,1.54,367.82120858519016
2024-02-13 02:00:00,-4.62,82,1.03,373.80673330692815
2024-02-13 03:00:00,-4.92,84,2.57,379.9246738701942
2024-02-13 04:00:00,-4.7,85,3.6,390.03479928049086
2024-02-13 05:00:00,-4.59,83,2.24,399.17307095369824
2024-02-13 06:00:00,-4.59,77,3.58,406.62017678802323
2024-02-13 07:00:00,-4.41,74,3.13,395.6425498997712
2024-02-13 08:00:00,-4.45,74,1.79,428.4768579117329
2024-02-13 09:00:00,-4.25,75,3.13,426.9493677902856
2024-02-13 10:00:00,-4.2,74,4.47,438.8999382346011
2024-02-13 11:00:00,-3.82,72,4.02,428.48963211141535
2024-02-13 12:00:00,-3.79,71,3.13,415.7897699026657
2024-02-13 13:00:00,-3.77,70,4.63,431.0292376026971
2024-02-13 14:00:00,-3.71,67,1.34,439.53709074779914
2024-02-13 15:00:00,-4.47,73,2.24,415.2537793571277
2024-02-13 16:00:00,-5.38,74,1.34,401.76278039119796
2024-02-13 17:00:00,-7.05,79,0.45,393.5732217372438
2024-02-13 18:00:00,-8.57,81,1.73,371.63361913525125
2024-02-13 19:00:00,-9.08,82,1.97,360.8792537775152
2024-02-13 20:00:00,-9.65,86,1.9,352.26214676515553
